ID,Term,Definition,Name,,,,,,,,,,,,,,,,,,,,,,
158,"What is the determinant of a 2-by-2 square matrix whose rows are 4, 2 and –3, –4?", ANSWER: –10,H Mth158,,,,,,,,,,,,,,,,,,,,,,
159,"If one of Earth’s tectonic plates moves at a rate of about 10 centimeters per year, how many kilometers will it move in 100 million years? ","ANSWER: 10,000",H Mth159,,,,,,,,,,,,,,,,,,,,,,
160,"Short Answer Giving your answer as up, down, left, or right, the graph of the equation x = 5y – 8y 2 – 1 opens in what direction?", ANSWER: LEFT,H Mth160,,,,,,,,,,,,,,,,,,,,,,
161,"If $10,000 is placed in a savings account that pays 5% interest compounded annually, what is the total amount of money in the account at the end of 2 years, to the nearest dollar? ","ANSWER: $11,025",H Mth161,,,,,,,,,,,,,,,,,,,,,,
162,"What is the area, in square feet, of the triangle whose sides have lengths equal to 10, 6 and 8 feet? ",A = (1/2)(6)(8) = 24 feet2,H Mth162,,,,,,,,,,,,,,,,,,,,,,
163,An object travels at fifteen feet per minute. How many feet does it travel in 24 minutes and 40 seconds? ,370 feet,H Mth163,,,,,,,,,,,,,,,,,,,,,,
164,"Find the cotangent and cosecant, respectively, of a 90 degree angle:", ANSWER: COTAN = 0; COSECANT = 1,H Mth164,,,,,,,,,,,,,,,,,,,,,,
165,"Which of the following points is closest to the point (1, –2): W) (3, –5) X) (0, 3) Y) (3, 0) Z) (–5, –5) ","ANSWER: Y) (3, 0)",H Mth165,,,,,,,,,,,,,,,,,,,,,,
166,"The terminal side of angle θ (read as: theta) in standard position passes through the point (–5, 12). Find the sine, cosine and tangent, in fractional form:",ANSWER: SIN =  12/13; COS =  -5/13 − 5 ; TAN =  -12/5,H Mth166,,,,,,,,,,,,,,,,,,,,,,
167,"Giving your answer in millimeters squared, find the lateral surface area of a right pentagonal prism whose altitude is 12 millimeters and base has sides of length 8, 10, 12, 14, and 16 millimeters, respectively: ",ANSWER: 720,H Mth167,,,,,,,,,,,,,,,,,,,,,,
168,"Given that the speed of sound at 0ºC at sea level in dry air is 331 meters per second, what is the speed of sound through dry air at sea level, giving your answer in proper SI units rounded to the nearest whole number, if the temperature of the air is 12°C? ",ANSWER: 338 METERS PER SECOND (must give units),H Mth168,,,,,,,,,,,,,,,,,,,,,,
169,What is the perimeter of a right triangle whose leg lengths are 6 and 8 and whose hypotenuse is 10? ,ANSWER: 24,H Mth169,,,,,,,,,,,,,,,,,,,,,,
170,"Short Answer The average of -40, 36, 5, 0, 10 and x is 5. What is the value of x? ",ANSWER: 19,H Mth170,,,,,,,,,,,,,,,,,,,,,,
171,How many nanometers are in an angstrom? ,ANSWER: 0.1 (ACCEPT: ONE-TENTH),H Mth171,,,,,,,,,,,,,,,,,,,,,,
172,What is the remainder of (148 + 10) / 7 ?, ANSWER: 4,H Mth172,,,,,,,,,,,,,,,,,,,,,,
173,"If y varies directly as x, and y = 42 when x = 30, find y if x = 45:", ANSWER: 63,H Mth173,,,,,,,,,,,,,,,,,,,,,,
174,The price of a postage stamp changes from 33 cents to 34 cents. What is the percent increase in price?, ANSWER: 3 (ACCEPT: 3.03),H Mth174,,,,,,,,,,,,,,,,,,,,,,
175,"After a 20% (percent) increase, the new price of a tennis racket is $180.00. What was the original price of the racket?", ANSWER: $150.00,H Mth175,,,,,,,,,,,,,,,,,,,,,,
176,The number 22.5 is 5 percent of what number? ,ANSWER: 450,H Mth176,,,,,,,,,,,,,,,,,,,,,,
177,"Which of the following numbers is divisible by 9: W) 3191 X) 3527 Y) 212,526 Z) 439,327 ","ANSWER: Y) 212,526",H Mth177,,,,,,,,,,,,,,,,,,,,,,
178,What is the most common term for a change in velocity divided by the time it takes to make the change?, ANSWER: AVERAGE ACCELERATION,H Mth178,,,,,,,,,,,,,,,,,,,,,,
179,"If the average of 5 numbers is 16, what is the sum of the 5 numbers? ",ANSWER: 80,H Mth179,,,,,,,,,,,,,,,,,,,,,,
180,"For an electric saw that draws 8 amps on a 120 volt line, what is the resistance of the saw?", ANSWER: 15 OHMS,H Mth180,,,,,,,,,,,,,,,,,,,,,,
181,"What are the median, mean and mode of the following set of numbers: 2, 3, 3, 8, 8, 8, 10, 14",MEDIAN = 8.; MEAN = 7; MODE = 8,H Mth181,,,,,,,,,,,,,,,,,,,,,,
182,"On a blueprint, if three-quarters of an inch represents 1 foot, then 2 inches will represent what distance, in feet, expressed as the most reduced compound fraction?", ANSWER: 2 2/3 (ACCEPT: 2.66),H Mth182,,,,,,,,,,,,,,,,,,,,,,
183,How old is Michelle if 4 years ago she was one-half the age she will be 10 years from now? ,ANSWER: 18,H Mth183,,,,,,,,,,,,,,,,,,,,,,
184,"In order, what are the prime numbers between 30 and 50? ","ANSWER: 31, 37, 41, 43, 47",H Mth184,,,,,,,,,,,,,,,,,,,,,,
185,Find the prime factorization of 1050:, ANSWER: 2×3×5×5×7 (ACCEPT: 2×3×52 ×7),H Mth185,,,,,,,,,,,,,,,,,,,,,,
186,Solve the following inequality: 3 – 6x > 15,ANSWER: x < -2,H Mth186,,,,,,,,,,,,,,,,,,,,,,
187,"In statistics, what is the square root of the variance most commonly known as? ",ANSWER: STANDARD DEVIATION,H Mth187,,,,,,,,,,,,,,,,,,,,,,
188,"To the nearest cubic inch, find the volume of a sphere whose diameter is 4 inches:", ANSWER: 33 (ACCEPT: 32 – 34),H Mth188,,,,,,,,,,,,,,,,,,,,,,
189,What is the area of an equilateral triangle whose side is 6?,ANSWER: 9 3 (ACCEPT: 15 – 16),H Mth189,,,,,,,,,,,,,,,,,,,,,,
190,What is the sum of the interior angles of a 6-sided polygon? ,ANSWER: 720°,H Mth190,,,,,,,,,,,,,,,,,,,,,,
191,"Find the following number: When the number, one-half of the number, and one-quarter of the number are added, and then 8 is subtracted, the result is 2 less than twice the number: ",ANSWER: -24,H Mth191,,,,,,,,,,,,,,,,,,,,,,
192,"What German mathematician in 1865 cut a long rectangular strip of paper, gave the paper a half-twist, and pasted the ends together, to show that a sheet can have only one side? ",ANSWER: AUGUSTUS MOBIUS (ACCEPT: MOBIUS),H Mth192,,,,,,,,,,,,,,,,,,,,,,
193,"A gas station sells regular gasoline for $2.39 per gallon and premium gasoline for $2.79 per gallon. If the gas station sold a total of 550 gallons of both types of gasoline in one day for a total of $1,344.50, how many gallons of premium gasoline were sold? (A) 25 (B) 75 (C) 175 (D) 475 ",(B) 75 ,H Mth193,,,,,,,,,,,,,,,,,,,,,,
194,A parallelogram whose adjacent sides are unequal is called a: W) rhombus X) rhomboid Y) deltoid Z) rectangle ,ANSWER: X) RHOMBOID,H Mth194,,,,,,,,,,,,,,,,,,,,,,
195,What is the longest chord of a circle also known as? ,DIAMETER,H Mth195,,,,,,,,,,,,,,,,,,,,,,
196,What percent of a normally distributed sample lies within 2 standard deviations of the mean? ,ANSWER: 95%,H Mth196,,,,,,,,,,,,,,,,,,,,,,
197,What is the equation of a line that has a slope of 4 and a y-intercept of 5?,y = 4x + 5,H Mth197,,,,,,,,,,,,,,,,,,,,,,
198,"If the universal set is represented by the numbers 1, 2, 3, 4, 5, 6, 7, and set A is represented by the numbers 1, 2, 3; set B by the numbers 3, 4, 5, 6; and set C by the numbers 2, 3, 4, then what set is represented by the union of sets A and B?"," ANSWER: 1, 2, 3, 4, 5, 6",H Mth198,,,,,,,,,,,,,,,,,,,,,,
199,"In the US Senate, Senator Bill received four-sixths of the votes, Senator George received two- tenths of the votes, and Senator Mary received the remaining votes. If 48 votes were cast for Senator Mary, how many votes did Senator Bill receive?", ANSWER: 240,H Mth199,,,,,,,,,,,,,,,,,,,,,,
200,"A recipe calls for flour, sugar and butter to be mixed in a ratio of 7 to 5 to 2, respectively. Assuming there is enough sugar and butter to use all the flour and 20 pounds of flour is available, how many pounds of the mixture can be made? ",ANSWER: 40,H Mth200,,,,,,,,,,,,,,,,,,,,,,
201,A statistician who computes the standard deviation of a set of sample means is computing what statistical quantity?, ANSWER: STANDARD ERROR OF THE MEAN (ACCEPT: STANDARD ERROR),H Mth201,,,,,,,,,,,,,,,,,,,,,,
202,Name 2 consecutive ODD integers where 5 times the second number minus 6 times the first number equals –55: ,ANSWER: –65 AND –67 (must be in order),H Mth202,,,,,,,,,,,,,,,,,,,,,,
203,"A merchant wants to mix 2 types of sugar that sell for $0.40 per gram and $0.60 per gram, respectively. If he wants a mixture of 5 grams that sells for $0.58 per gram, how many grams of each should he mix?", ANSWER: 0.5 GRAMS OF $0.40 PLUS 4.5 GRAMS OF $0.60,H Mth203,,,,,,,,,,,,,,,,,,,,,,
204,"What is the slope of a line that passes through the points (5, 3) and (-1, 1)?", ANSWER: 1/3,H Mth204,,,,,,,,,,,,,,,,,,,,,,
205,What is the term for the part of the secant contained between the points of intersection on a curve? ,ANSWER: CHORD,H Mth205,,,,,,,,,,,,,,,,,,,,,,
206,"In a normal distribution, a mean of a sample population, plus or minus 1 standard deviation, includes what percentage of the sample: W) 16% X) 32% Y) 68% Z) 95%", ANSWER: Y) 68%,H Mth206,,,,,,,,,,,,,,,,,,,,,,
207,"What is the 13th term in the following arithmetic progression: 2, 7, 12…", ANSWER: 62,H Mth207,,,,,,,,,,,,,,,,,,,,,,
208,"In the following number sequence, what are the values for a, b and c: a, b, 38, 22, 14, 10, c ",ANSWER: a = 134; b = 70; c = 8,H Mth208,,,,,,,,,,,,,,,,,,,,,,
209,"What is the most common statistical term for the assumption, when comparing sample means, that there is no significant difference between the two samples? ",ANSWER: NULL HYPOTHESIS,H Mth209,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
